County,EV Count for 2021-05-31,EV Prediction for 2023-08-31,Existing Charger Count,EVs Added (Today-2023),Chargers per EV,EVs per Charger
King,51209.0,75734.0,846.0,24525.0,0.011,90.0
Snohomish,9423.0,17282.0,104.0,7859.0,0.006,166.0
Pierce,6652.0,13012.0,123.0,6360.0,0.009,106.0
Clark,5294.0,11642.0,66.0,6348.0,0.006,176.0
Kitsap,3097.0,5654.0,61.0,2557.0,0.011,93.0
Thurston,3181.0,5299.0,62.0,2118.0,0.012,85.0
Spokane,1973.0,3480.0,70.0,1507.0,0.02,50.0
Whatcom,2081.0,3050.0,32.0,969.0,0.01,95.0
Island,943.0,1804.0,10.0,861.0,0.006,180.0
Benton,1000.0,1720.0,61.0,720.0,0.035,28.0
