County,EV Count for 2021-05-31,EV Prediction for 2023-08-31,Existing Charger Count,EVs Added (Today-2023),Chargers per EV,EVs per Charger
King,51209.0,74875.0,846.0,23666.0,0.011,89.0
Snohomish,9423.0,17117.0,104.0,7694.0,0.006,165.0
Clark,5294.0,11887.0,66.0,6593.0,0.006,180.0
Pierce,6652.0,11407.0,123.0,4755.0,0.011,93.0
Kitsap,3097.0,5653.0,61.0,2556.0,0.011,93.0
Thurston,3181.0,5299.0,62.0,2118.0,0.012,85.0
Spokane,1973.0,3507.0,70.0,1534.0,0.02,50.0
Whatcom,2081.0,3122.0,32.0,1041.0,0.01,98.0
Island,943.0,1855.0,10.0,912.0,0.005,186.0
Benton,1000.0,1820.0,61.0,820.0,0.034,30.0
